adshex,flight_id,latitude,longitude,altitude,speed,track,squawk,type,timestamp,name,other_names1,other_names2,n_number,serial_number,mfr_mdl_code,mfr,model,year_mfr,type_aircraft,agency
A7A9D4,726bc89,33.7492,-117.15399,17500,174,151,4773,PC12,2015-08-17T22:58:14Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9C265,72660d6,38.8096,-77.2957,8400,90,221,4414,,2015-08-17T22:58:05Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.8114,-77.29369,8399,90,224,4414,,2015-08-17T22:57:59Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7845,-118.123,7599,74,280,4415,,2015-08-17T22:57:54Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.81491,-77.28919,8400,90,234,4414,,2015-08-17T22:57:49Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.78381,-118.11799,7600,76,289,4415,,2015-08-17T22:57:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
AD4B3C,7265f06,33.7814,-118.11099,7600,80,299,4415,,2015-08-17T22:57:34Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.8217,-77.26519,8399,90,274,4414,,2015-08-17T22:57:19Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.8188,-77.2492,8400,94,301,4414,,2015-08-17T22:56:59Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7674,-118.08799,7600,82,320,4415,,2015-08-17T22:56:54Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.8159,-77.2433,8400,90,309,4414,,2015-08-17T22:56:49Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.8104,-77.23579,8400,88,325,4414,,2015-08-17T22:56:39Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7573,-118.08,7599,87,339,4415,,2015-08-17T22:56:34Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.80341,-77.2304,8400,86,335,4414,,2015-08-17T22:56:29Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A7A9D4,726bc89,33.8589,-117.18799,17500,118,168,4773,PC12,2015-08-17T22:56:19Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
AD4B3C,7265f06,33.73931,-118.077,7600,90,11,4415,,2015-08-17T22:56:04Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.7888,-77.226,8400,94,10,4414,,2015-08-17T22:56:04Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7316,-118.08,7600,90,26,4415,,2015-08-17T22:55:54Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
