County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
"
UNION",11/06/2018,025,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,329.0,456.0,12.0,2.0,799.0,Y
"
UNION",11/06/2018,038A,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,457.0,526.0,12.0,10.0,1005.0,Y
"
UNION",11/06/2018,042,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,335.0,314.0,13.0,3.0,665.0,Y
"
UNION",11/06/2018,041,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,602.0,867.0,50.0,8.0,1527.0,Y
"
UNION",11/06/2018,029A,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,441.0,675.0,17.0,3.0,1136.0,Y
"
RICHMOND",11/06/2018,15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,14.0,0.0,0.0,0.0,14.0,Y
"
RICHMOND",11/06/2018,ONE STOP,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,3355.0,0.0,0.0,3355.0,N
"
RICHMOND",11/06/2018,12,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,277.0,0.0,0.0,0.0,277.0,Y
"
RICHMOND",11/06/2018,06,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,100.0,0.0,0.0,0.0,100.0,Y
"
RICHMOND",11/06/2018,03,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,77.0,0.0,0.0,0.0,77.0,Y
"
RICHMOND",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,0.0,100.0,100.0,N
"
RICHMOND",11/06/2018,10,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,221.0,0.0,0.0,0.0,221.0,Y
